CVE ID,CWE ID,Query ID,vuln_num_paths,vuln_num_results,vuln_recall_file,vuln_recall_method,vuln_tp_paths_file,vuln_tp_results_file,vuln_tp_paths_method,vuln_tp_results_method,Precision,FDR,Recall,F1
CVE-2022-22965,CWE-094,CWE-94,558,2046,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-42889,CWE-094,CWE-94,23,48,TRUE,FALSE,22,9,0,0,0,1,0,0
CVE-2022-44262,CWE-094,CWE-94,316,555,TRUE,TRUE,43,29,38,26,0.04684684685,0.9531531532,1,0.08950086059
CVE-2022-46166,CWE-094,CWE-94,11,21,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-32697,CWE-094,CWE-94,12,53,TRUE,TRUE,11,5,11,5,0.09433962264,0.9056603774,1,0.1724137931
CVE-2023-33246,CWE-094,CWE-94,45,600,TRUE,FALSE,9,5,0,0,0,1,0,0
CVE-2023-34468,CWE-094,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-37582,CWE-094,CWE-94,43,380,TRUE,FALSE,1,1,0,0,0,1,0,0
CVE-2023-49109,CWE-094,CWE-94,232,866,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-51770,CWE-094,CWE-94,239,897,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-4137,CWE-116,CWE-79,447,3406,TRUE,TRUE,2,2,1,1,0.0002935995302,0.9997064005,1,0.0005870267097
CVE-2014-3576,CWE-264,CWE-78,134,992,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-26074,CWE-352,CWE-352,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-2901,CWE-502,CWE-502,5,2,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-46096,CWE-502,CWE-502,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-4641,CWE-502,CWE-502,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-47771,CWE-502,CWE-502,5,2,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-23026,CWE-611,CWE-611,0,7,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27528,CWE-611,CWE-611,9,154,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27818,CWE-611,CWE-611,11,369,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-31723,CWE-611,CWE-611,42,85,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-32960,CWE-611,CWE-611,234,2671,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-52888,CWE-611,CWE-611,42,85,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-53621,CWE-611,CWE-611,234,2671,FALSE,FALSE,0,0,0,0,0,1,0,0
